Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,17744","-4,646E-05","0,1418",0,0,0,"1,58","0,019015","9,5921E-06","0,0023844","0,028606","-5,2044E-06","0,022815",0,0,0,0,0,0,package://LRM_urdf/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://LRM_urdf/meshes/base_link.STL,,LRM_simplified-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,"-3,3004E-06","-0,0029352","0,039475",0,0,0,"0,037998","3,3124E-05","-2,9288E-08","-4,1087E-08","3,2572E-05","3,3577E-07","1,3405E-05",0,0,0,0,0,0,package://LRM_urdf/meshes/Link1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://LRM_urdf/meshes/Link1.STL,,Joint1-1,Coordinate System2,Axis1,Joint1,revolute,"-0,049281",0,"0,23113",0,"1,0472",0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,"-0,0023653","0,057529","6,7663E-05",0,0,0,"0,084755","0,00010536","3,4002E-06","1,7658E-09","5,8005E-05","2,508E-07","8,0787E-05",0,0,0,0,0,0,package://LRM_urdf/meshes/Link2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://LRM_urdf/meshes/Link2.STL,,joint2-1,Coordinate System3,Axis2,Joint2,revolute,0,0,"0,056905","1,5708",0,0,Link1,0,0,-1,0,0,0,0,,,,,,,,
Link3,"-0,00058256","-0,0028234","0,035135",0,0,0,"0,035798","2,6633E-05","7,4604E-08","4,3982E-07","2,4887E-05","3,8428E-07","1,1534E-05",0,0,0,0,0,0,package://LRM_urdf/meshes/Link3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://LRM_urdf/meshes/Link3.STL,,joint3-1,Coordinate System4,Axis3,Joint3,revolute,0,"0,094505",0,"-1,5708",0,0,Link2,"0,51376",0,"-0,85793",0,0,0,0,,,,,,,,
Link4,"-0,0020892","0,05153","2,7387E-05",0,0,0,"0,051946","7,0818E-05","1,0745E-06","5,3675E-09","3,346E-05","-1,5149E-08","5,7667E-05",0,0,0,0,0,0,package://LRM_urdf/meshes/Link4.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://LRM_urdf/meshes/Link4.STL,,joint4-1,Coordinate System5,Axis4,Joint4,revolute,0,0,"0,05207","1,5708",0,0,Link3,0,0,-1,0,0,0,0,,,,,,,,
Link5,"-0,00043088","-0,0025427","0,04963",0,0,0,"0,039443","3,4556E-05","5,9448E-08","5,6089E-07","3,2998E-05","8,195E-07","1,1868E-05",0,0,0,0,0,0,package://LRM_urdf/meshes/Link5.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://LRM_urdf/meshes/Link5.STL,,joint5-1,Coordinate System6,Axis5,Joint5,revolute,"-2,2126E-05","0,080206",0,"-1,5708",0,0,Link4,0,0,-1,0,0,0,0,,,,,,,,
Link6,"-0,0021294","0,056494","0,00013588",0,0,0,"0,081373","0,00016127","1,2534E-07","-1,628E-08","0,00011516","6,7574E-07","5,776E-05",0,0,0,0,0,0,package://LRM_urdf/meshes/Link6.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://LRM_urdf/meshes/Link6.STL,,joint6-1,Coordinate System7,Axis6,Joint6,revolute,"2,2126E-05",0,"0,070794","1,5708",0,0,Link5,0,0,1,0,0,0,0,,,,,,,,
End_effector,"0,026883","-0,00012945","-0,58987",0,0,0,"2,9994","0,070978","-9,0561E-06","0,0012474","0,07772","9,364E-05","0,024964",0,0,0,0,0,0,package://LRM_urdf/meshes/End_effector.STL,1,1,1,1,0,0,0,0,0,0,package://LRM_urdf/meshes/End_effector.STL,,,Coordinate System8,Axis6,End_effector,fixed,0,"0,13038",0,"-1,5708",0,0,Link6,0,0,0,,,,,,,,,,,,
